"år","Arbeider","Arbeiderske","Bestyrer","Betyrerinne","Brannkonstabel","Brannmann","Butikkbetjent","Butikkdame","Butikkmann","Ekspeditrise","Ekspeditør","Forfatter","Forfatterinne","Forkvinne","Formann","Forrerningskvinne","Forretningsmann","Helsebror","Helsesøster","Husfar","Husholder","Husholderske","Husmor","Jordmor","Kjøpmann","Kontordame","Kontorist","Kontormann","Kunstner","Kunstnerinne","Kvinnelig arbeider","Kvinnelig arbeiderske","Kvinnelig bestyrer","Kvinnelig brannkonstabel","Kvinnelig brannmann","Kvinnelig butikkmann","Kvinnelig ekspeditrise","Kvinnelig ekspeditør","Kvinnelig forfatter","Kvinnelig formann","Kvinnelig kjøpmann","Kvinnelig kontorist","Kvinnelig kunstner","Kvinnelig leder","Kvinnelig lege","Kvinnelig lærer","Kvinnelig pianist","Kvinnelig politibetjent","Kvinnelig politikonstabel","Kvinnelig prest","Kvinnelig sanger","Kvinnelig sangerinne","Kvinnelig skredder","Kvinnelig skuespiller","Kvinnelig skuespillerinne","Kvinnelig sykepleier","Leder","Lege","Lærer","Lærerinne","Mannlig arbeider","Mannlig brannmann","Mannlig ekspeditør","Mannlig forfatter","Mannlig formann","Mannlig jordmor","Mannlig kontorist","Mannlig kunstner","Mannlig leder","Mannlig lege","Mannlig lærer","Mannlig pianist","Mannlig politibetjent","Mannlig politikonstabel","Mannlig prest","Mannlig sanger","Mannlig skuespiller","Mannlig sykepleier","Pianist","Pianistinne","Politibetjent","Politikonstabel","Politikvinne","Politimann","Prest","Renholdsarbeider","Sanger","Sangerinne","Skredder","Skredderske","Skuespiller","Skuespillerinne","Syer","Syerske","Sykepleier","Sykepleierske","Sykesøster","Vaskedame","Vaskehjelp","Vaskekone","Yrkeskvinne","Yrkesmann"
1920,0.0214429331004689,4.72224623243947e-05,0.00426379482737347,0.00121401080225631,3.93520519369956e-05,1.96760259684978e-06,5.90280779054933e-06,0.000232177106428274,NA,0.000545025919327389,0.00121401080225631,0.00315603456534704,0.000226274298637724,NA,0.01876896117135,NA,0.00234931750063863,NA,NA,9.24773220519395e-05,8.65745142613902e-05,0.00187315767220099,0.00280383370051093,0.000641438446573028,0.00260313823563226,0.00502919223754803,0.000753591794593465,0.00195579698126868,0.002252904973393,0.000116088553214137,6.49308856960427e-05,NA,NA,NA,NA,0.000110185745423588,NA,NA,NA,NA,0.000737850973818667,9.83801298424889e-06,NA,NA,NA,NA,NA,NA,NA,3.93520519369956e-06,NA,NA,NA,NA,NA,NA,0.00496622895444884,0.00432872571306951,0.00896046222605389,0.00167442980991916,4.91900649212444e-05,9.83801298424889e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000914935207535147,0.000216436285653476,0.000895259181566649,0.00017314902852278,NA,0.000507641469987243,0.00419296113388688,5.90280779054933e-06,0.00108611663346108,0.000460419007662848,0.000979866093231189,1.96760259684978e-06,0.0013123909320988,0.000151505399957433,5.90280779054933e-06,0.00100938013218394,7.0833693486592e-05,0.00103889417113668,1.96760259684978e-06,1.96760259684978e-06,1.96760259684978e-06,0.00035220086483611,NA,1.96760259684978e-06
1921,0.0215555938468671,8.0703072570683e-05,0.012617236467758,0.000891670533524863,5.70826610865807e-05,NA,1.96836762367519e-06,0.000497997008789824,NA,0.000759789902738625,0.000940879724116743,0.00370840460300407,0.000175184718507092,NA,0.0229688818006658,5.90510287102558e-06,0.00217307785653742,NA,NA,7.47979696996574e-05,3.54306172261535e-05,0.00233448400167878,0.00277342998175835,0.000700738874028369,0.00484612108948833,0.00323993310856937,0.00108653892826871,0.00144281346815392,0.00217110948891374,0.000100386748807435,2.55887791077775e-05,NA,NA,NA,NA,0.000135817366033588,NA,NA,NA,NA,0.000889702165901188,3.93673524735039e-06,NA,NA,9.84183811837597e-06,3.93673524735039e-06,NA,NA,NA,2.55887791077775e-05,NA,NA,NA,NA,NA,NA,0.00485793129523038,0.00492485579443534,0.0103496769652842,0.00236007278078656,9.84183811837597e-06,7.87347049470078e-06,NA,NA,NA,NA,NA,NA,NA,NA,1.77153086130768e-05,NA,NA,NA,NA,NA,NA,NA,0.000773568476104352,0.000192900027120169,0.000730264388383497,0.000336590863648458,NA,0.0005078388469082,0.00529687727530995,9.84183811837597e-06,0.00124203997053905,0.00060232049284461,0.00120464098568922,9.84183811837597e-06,0.00158256756943486,0.00020077349761487,1.77153086130768e-05,0.00184632883100733,6.88928668286318e-05,0.00110031750163443,1.18102057420512e-05,NA,3.14938819788031e-05,0.000137785733657264,NA,NA
1922,0.0160757452669947,7.438170164023e-05,0.0112613896283308,0.00103762473788121,9.66962121322989e-05,NA,5.57862762301725e-06,0.00055972230484273,NA,0.000606210868367874,0.00117337134337463,0.0033323002334823,0.000198971051887615,NA,0.0219667760369009,3.7190850820115e-06,0.00178330129682451,NA,NA,6.50839889352012e-05,6.88030740172127e-05,0.00234860222929026,0.00357775984889506,0.000643401719187989,0.00513233741317587,0.00301617800151132,0.00101531022738914,0.00113989957763652,0.00230397320830612,7.62412441812357e-05,3.53313082791092e-05,NA,NA,NA,NA,0.000120870265165374,NA,NA,3.7190850820115e-06,NA,0.00103762473788121,NA,NA,NA,3.7190850820115e-06,7.438170164023e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00416165620677087,0.00545217873022886,0.010013636583316,0.00231141137847015,3.16122231970977e-05,3.7190850820115e-06,NA,NA,NA,NA,NA,NA,NA,NA,1.4876340328046e-05,NA,NA,NA,NA,NA,NA,NA,0.00097997891911003,0.000228723732543707,0.000714064335746208,0.000409099359021265,NA,0.000539267336891667,0.00497241675464937,5.57862762301725e-06,0.00115291637542356,0.0004853406032025,0.000981838461651035,9.29771270502874e-06,0.00170148142502026,0.00017479699885454,3.7190850820115e-06,0.00188185705149782,6.88030740172127e-05,0.00106179879091428,1.85954254100575e-06,NA,5.57862762301725e-06,0.00014876340328046,NA,NA
1923,0.013371487262458,9.2820362788388e-05,0.0103191253323014,0.000871083404629487,6.06902372077921e-05,NA,1.42800558135981e-05,0.000589052302310924,1.78500697669977e-06,0.000938913669744078,0.00108349923485676,0.00318088243247899,0.000215985844180672,NA,0.019644001778581,NA,0.0015708061394958,NA,NA,1.96350767436975e-05,5.71202232543926e-05,0.00197600272320664,0.00291134637899732,0.000719357811610007,0.00507298982778074,0.00279532092551184,0.000865728383699388,0.00110491931857716,0.00218127852552712,8.21103209281893e-05,1.96350767436975e-05,NA,NA,NA,NA,8.74653418582887e-05,NA,NA,3.57001395339954e-06,NA,0.000869298397652787,NA,NA,NA,7.14002790679907e-06,1.07100418601986e-05,NA,NA,NA,1.24950488368984e-05,NA,NA,NA,NA,NA,NA,0.00415906625571046,0.00520151033010312,0.0092427661253514,0.00189924742320855,8.92503488349884e-06,1.78500697669977e-06,NA,NA,NA,NA,NA,NA,NA,NA,1.42800558135981e-05,NA,NA,NA,NA,NA,NA,NA,0.000876438425559586,0.000292741144178762,0.000856803348815889,0.000342721339526356,NA,0.00054085711394003,0.00517652023242933,1.78500697669977e-06,0.0015065458883346,0.000701507741843009,0.00102637901160237,1.60650627902979e-05,0.00143871562322001,0.000226695886040871,8.92503488349884e-06,0.00144942566508021,7.31852860446905e-05,0.00126199993252674,1.07100418601986e-05,NA,NA,0.000126735495345684,NA,NA
1924,0.0157649652345138,8.32565003032965e-05,0.0100202667135863,0.000792671263304302,4.85662918435896e-05,NA,2.77521667677655e-05,0.000513415085203662,1.73451042298534e-06,0.000796140284150273,0.00109967960817271,0.00363033031530832,0.000161309469337637,NA,0.0197335250823043,1.73451042298534e-06,0.00141015697388708,NA,NA,6.93804169194137e-05,0.00010060160453315,0.00190449244443791,0.00290877397934642,0.000936635628412086,0.00470919579840521,0.00243004910260247,0.000865520701069687,0.000853379128108789,0.00216640351830869,0.000107539646225091,1.73451042298534e-05,NA,NA,NA,NA,8.32565003032965e-05,NA,NA,NA,NA,0.00101642310786941,NA,NA,NA,NA,3.46902084597069e-06,NA,NA,NA,6.93804169194137e-06,NA,NA,NA,NA,NA,NA,0.00414894893178094,0.00454268279779861,0.00892232161583661,0.00172410336044743,2.08141250758241e-05,5.20353126895603e-06,NA,NA,NA,NA,NA,NA,NA,NA,3.46902084597069e-06,NA,NA,NA,NA,NA,NA,NA,0.00095744975348791,0.000230689886257051,0.000757981054844595,0.00035384012628901,NA,0.000494335470550823,0.00500926610158167,1.04070625379121e-05,0.00141362599473305,0.000496069980973808,0.00106672391013599,5.20353126895603e-06,0.00153330721391904,0.000234158907103021,1.04070625379121e-05,0.00153330721391904,6.41768856504577e-05,0.00111355569155659,3.46902084597069e-06,NA,NA,0.000119681219185989,NA,NA
1925,0.0156464213968439,7.53590434525897e-05,0.00983623914664926,0.00061982813239755,8.47789238841634e-05,NA,5.65192825894422e-06,0.00050867354330498,NA,0.000578380658498626,0.000962711780106833,0.00394127797257044,0.000229845082530398,1.88397608631474e-06,0.0198853675910521,1.88397608631474e-06,0.00107951829745835,NA,NA,8.10109717115339e-05,8.10109717115339e-05,0.00192730753629998,0.0031443560880593,0.000819529597546912,0.00467602864623319,0.0021854122601251,0.000891120688826873,0.000734750673662749,0.00256597542956068,8.47789238841634e-05,3.57955456399801e-05,NA,NA,NA,NA,0.000109270613006255,NA,NA,NA,NA,0.00103430287138679,NA,NA,NA,3.76795217262948e-06,NA,NA,NA,NA,2.44916891220916e-05,NA,NA,NA,NA,NA,NA,0.00376230024437054,0.00432184114200602,0.00892439472087293,0.00153544051034651,1.50718086905179e-05,7.53590434525897e-06,NA,NA,NA,NA,NA,NA,NA,NA,5.65192825894422e-06,NA,NA,NA,NA,NA,NA,NA,0.000827065501892171,0.000222309178185139,0.000889236712740558,0.000305204125982988,NA,0.000504905591132351,0.00506601169610034,7.53590434525897e-06,0.00136399868649187,0.000486065830269203,0.00108140227354466,9.41988043157371e-06,0.0013545788060603,0.000184629656458845,1.31878326042032e-05,0.00145631351472129,7.53590434525897e-05,0.000913728401862649,5.65192825894422e-06,1.88397608631474e-06,NA,0.000139414230387291,NA,NA
1926,0.0184875528319253,3.90582102082929e-05,0.0114538201435819,0.000642833043011487,8.62535475433134e-05,1.62742542534554e-06,1.79016796788009e-05,0.000512639008983844,1.62742542534554e-06,0.000519148710685226,0.00103341514509442,0.00419550274654079,0.000276662322308741,NA,0.0234332986995504,NA,0.0014402715014308,NA,3.25485085069107e-06,4.39404864843295e-05,9.11358238193501e-05,0.00137354705899163,0.0023516297396243,0.000657479871839597,0.00590429944315361,0.00179505024415613,0.000869045177134517,0.000515893859834535,0.00247205922109987,0.00016762481881059,3.09210830815652e-05,NA,NA,NA,NA,8.62535475433134e-05,NA,NA,3.25485085069107e-06,NA,0.00068189125321978,NA,NA,NA,3.25485085069107e-06,NA,NA,NA,NA,9.76455255207322e-05,NA,NA,NA,NA,NA,NA,0.00471953373350206,0.00508733187963015,0.0101974477152151,0.00186828438829668,2.92936576562197e-05,9.76455255207322e-06,NA,NA,NA,NA,NA,NA,NA,NA,3.25485085069107e-06,NA,NA,NA,NA,NA,NA,NA,0.000919495365320228,0.000214820156145611,0.00100249406201285,0.00044103229026864,NA,0.000644460468436833,0.00646901606574851,3.25485085069107e-06,0.00191873457648239,0.000803948160120695,0.00101225861456492,4.88227627603661e-06,0.00159162206598793,0.000318975383367725,4.88227627603661e-06,0.00114896235029395,5.69598898870938e-05,0.000854398348306407,3.41759339322563e-05,1.62742542534554e-06,1.62742542534554e-06,0.000102527801796769,NA,NA
1927,0.0198297270109832,6.7522693491047e-05,0.010800254823893,0.000742749628401517,6.07704241419423e-05,3.37613467455235e-06,5.06420201182852e-06,0.000450713979052739,3.37613467455235e-06,0.00061783264544308,0.000862602409348125,0.00432820465277611,0.000302164053372435,6.7522693491047e-06,0.0259607875799703,3.37613467455235e-06,0.00148212312212848,NA,3.37613467455235e-06,6.24584914792185e-05,8.27152995265326e-05,0.00135551807183277,0.00279037530851752,0.000501355999171024,0.0058525294583365,0.00164586565384427,0.00110061990390407,0.0005030440665083,0.00256248621798523,0.000167118666390341,4.22016834319044e-05,NA,NA,NA,NA,7.59630301774279e-05,NA,NA,5.06420201182852e-06,NA,0.000825464927928049,NA,NA,NA,1.0128404023657e-05,1.0128404023657e-05,NA,NA,NA,2.19448753845903e-05,NA,NA,NA,NA,NA,NA,0.00453921306993563,0.00575799768744903,0.01201059910472,0.00202230467005686,3.03852120709711e-05,1.68806733727617e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000827152995265326,0.000232953292544112,0.000879483082720887,0.000449025911715462,1.0128404023657e-05,0.000786639379170697,0.00659865522141257,3.37613467455235e-06,0.0018990757544357,0.000602640039407594,0.000916620564140963,5.06420201182852e-06,0.00195478197656581,0.000337613467455235,1.51926060354856e-05,0.00110906024059045,6.41465588164946e-05,0.000746125763076069,3.8825548757352e-05,NA,NA,7.59630301774279e-05,NA,NA
1928,0.0191038484888217,7.41743807496587e-05,0.00960163686129624,0.000978470554569966,7.57525590634812e-05,1.57817831382253e-06,1.26254265105802e-05,0.000419795431476792,4.73453494146758e-06,0.000789089156911263,0.00106684854014403,0.00500282525481741,0.000404013648338567,1.73599614520478e-05,0.0286534054657618,6.3127132552901e-06,0.00180701416932679,NA,1.57817831382253e-06,0.000104159768712287,7.25962024358362e-05,0.00116153923897338,0.00281547011185939,0.000610755007449317,0.00630166600709334,0.00171705800543891,0.00100372140759113,0.000508173417050853,0.00296539705167253,0.000164130544637543,1.26254265105802e-05,NA,NA,NA,NA,1.89381397658703e-05,NA,NA,3.15635662764505e-06,NA,0.000795401870166553,NA,NA,NA,1.42036048244027e-05,NA,NA,NA,NA,3.15635662764505e-06,NA,NA,NA,NA,NA,NA,0.00517011215608259,0.00553309316826177,0.0110630299798959,0.00187961037176263,2.84072096488055e-05,NA,NA,NA,NA,NA,NA,3.15635662764505e-06,NA,NA,3.15635662764505e-06,NA,NA,NA,3.15635662764505e-06,NA,4.73453494146758e-06,NA,0.000839590862953583,0.000244617638642491,0.00112208478112782,0.00047503167246058,NA,0.000831699971384471,0.00772991738110273,1.42036048244027e-05,0.00239567468038259,0.00095006334492116,0.00121519730164334,9.46906988293515e-06,0.00198377014047491,0.00047503167246058,9.46906988293515e-06,0.00107000489677167,6.47053108667235e-05,0.000998986872649658,4.73453494146758e-05,NA,3.15635662764505e-06,6.47053108667235e-05,NA,NA
1929,0.0181227682977158,7.51473002105505e-05,0.00910969312756469,0.00135725225890484,6.28783532373994e-05,6.13447348657555e-06,1.99370388313705e-05,0.000496892352412619,6.13447348657555e-06,0.000749939383733861,0.00102905792737305,0.00480942721347523,0.000458551893121522,6.13447348657555e-06,0.0324989069135056,1.53361837164389e-05,0.00197223322593404,NA,1.3802565344795e-05,9.04834839269893e-05,4.90757878926044e-05,0.000851158196262357,0.00288933701217708,0.000556703468906731,0.0060838640803113,0.0018556782296891,0.0010275243090014,0.000450883801263303,0.00292614385309654,0.000184034204597266,3.37396041761655e-05,NA,NA,NA,NA,1.3802565344795e-05,NA,NA,7.66809185821943e-06,NA,0.000616514585400843,3.06723674328777e-06,NA,NA,2.30042755746583e-05,1.53361837164389e-05,NA,NA,NA,1.68698020880828e-05,NA,NA,NA,NA,NA,NA,0.00552562699303292,0.00614060796006212,0.0120036309948567,0.00203664519754308,2.14706572030144e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06723674328777e-06,NA,NA,NA,NA,6.13447348657555e-06,NA,NA,0.000780611751166738,0.000257647886436173,0.00097078042925058,0.000435547617546864,4.60085511493166e-06,0.000894099510668386,0.00737210351249217,6.13447348657555e-06,0.00269610109734995,0.000926305496472908,0.00135725225890484,3.06723674328777e-06,0.00182040500714129,0.000449350182891659,7.66809185821943e-06,0.00130664285264059,6.7479208352331e-05,0.00103059154574469,6.7479208352331e-05,NA,4.1407696034385e-05,0.000217773808773432,NA,NA
